num_question;annee;contexte_question;texte_question;image;numero_option;texte_option;texte_option;prerequis;effet_immediat;modification_programme;modification_objet;objet;programme;commandes
25;2013;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;A;"Logique de stock
Vous constituez un stock de munitions pour votre aeronefs, en cas de conflit. Cependant, cela genere des couts importants, car vos munutions expirent tous les 3ans, et que ce stock doit être reconsitue en permanence.";30;;;;cout_unitaire:+5;Reaper;Achat Reaper;launch_programme
25;2013;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;B;"Logique de flux tendus
Vous achetez en permanence le juste necessaire pour le besoin actuel.";30;;;;;Reaper;Achat Reaper;launch_programme
26;2013;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;A;"Logique de stock
Vous constituez un stock de munitions pour votre aeronefs, en cas de conflit. Cependant, cela genere des couts importants, car vos munutions expirent tous les 3ans, et que ce stock doit être reconsitue en permanence";30;;;;"cout_unitaire:+7
budget:+1";Reaper;Achat Reaper;launch_programme
26;2013;"Quelle quantite de munition sur etagere estimez-vous necessaire ?
";Quelle logique pour vos munitions ?;;B;"Logique de flux tendus
Vous achetez en permanence le juste necessaire pour le besoin actuel.";30;;;;;Reaper;Achat Reaper;launch_programme
27;2013;"Le programme DAROK est un programme de transfert technologique d'IAI (Israel) vers Dassault (France). IAI sera donc leader sur ces travaux avec un partage des travaux d'ingenieurie reparti en 65/35 en faveur d'IAI. 
Le gouvernement Français peut renegocier ces partages avec le gouvernement Israelien, et repercuter les resultats des negociations aux industriels selon les termes suivants.";Quel partage industriel entre Dassault (France) et IAI (Israel) ?;DAROK.jpg;A;"Augmenter la part de Dassault a  40 (partage total : 60/40)
Cette solution augmente l'increment technologique (+5), et augmente le cout du programme pour la France de 5% (50M)";8;;;"cout:+10
niveau_techno:+1";;DAROK;Drone MALE franco-israelien;
27;2013;"Le programme DAROK est un programme de transfert technologique d'IAI (Israel) vers Dassault (France). IAI sera donc leader sur ces travaux avec un partage des travaux d'ingenieurie reparti en 65/35 en faveur d'IAI. 
Le gouvernement Français peut renegocier ces partages avec le gouvernement Israelien, et repercuter les resultats des negociations aux industriels selon les termes suivants.";Quel partage industriel entre Dassault (France) et IAI (Israel) ?;DAROK.jpg;B;"Augmenter la part de Dassault a  45 (partage total : 55/45)
Cette solution augmente l'increment technologique (+12), et augmente le cout du programme pour la France de 10%  (100M)";8;;;"cout:+20
niveau_techno:+2";;DAROK;Drone MALE franco-israelien;
27;2013;"Le programme DAROK est un programme de transfert technologique d'IAI (Israel) vers Dassault (France). IAI sera donc leader sur ces travaux avec un partage des travaux d'ingenieurie reparti en 65/35 en faveur d'IAI. 
Le gouvernement Français peut renegocier ces partages avec le gouvernement Israelien, et repercuter les resultats des negociations aux industriels selon les termes suivants.";Quel partage industriel entre Dassault (France) et IAI (Israel) ?;DAROK.jpg;C;Conserver le partage actuel;8;;;;;DAROK;Drone MALE franco-israelien;
28;2013;"Combien d'appareils acheterez-vous  ? 
";Combien ?;DAROK.jpg;A;moins de 10;9;;;;"cout_unitaire:+25
budget:-3";DAROK;Drone MALE franco-israelien;
28;2013;"Combien d'appareils acheterez-vous  ? 
";Combien ?;DAROK.jpg;B;de 11 a 20;9;;;;min_nb_utile:+11;DAROK;Drone MALE franco-israelien;
28;2013;"Combien d'appareils acheterez-vous  ? 
";Combien ?;DAROK.jpg;C;plus de 21;9;;;;"cout_unitaire:-10
budget:+5
min_nb_utile:+21";DAROK;Drone MALE franco-israelien;
29;2013;Developpant le programme pour vos propres besoin, vous pouvez utiliser des munitions preexistantes d'helicopteres, evitant des couts d'adaptation ou de design supplementaires. Cependant, l'approvisionnement de ces munitions peut être pense suivant deux logiques.;Quelle logique pour vos munitions ?;;A;"Logique de flux tendus
Vous achetez en permanence le juste necessaire pour le besoin actuel.";30;;;;;DAROK;Drone MALE franco-israelien;launch_programme
29;2013;Developpant le programme pour vos propres besoin, vous pouvez utiliser des munitions preexistantes d'helicopteres, evitant des couts d'adaptation ou de design supplementaires. Cependant, l'approvisionnement de ces munitions peut être pense suivant deux logiques.;Quelle logique pour vos munitions ?;;B;"Logique de stock
Vous constituez un stock de munitions pour votre aeronefs, en cas de conflit. Cependant, cela genere des couts importants, car vos munutions expirent tous les 3ans, et que ce stock doit être reconsitue en permanence";30;;;;"budget:+2
cout_unitaire:+5";DAROK;Drone MALE franco-israelien;launch_programme
30;2013;Dans le cadre de la répression des rebelles houthis, le Yemen, avec lequel vous entretenez de bonnes relations commerciales et strategiques au Moyen-Orient, vous sollicite pour un achat de 8 drones MALE.;Pouvez-vous et souhaitez-vous faire cette vente ?;;A;Si vous avez choisi le Reaper americain, ou si vous accepte d'utiliser des composants ITAR precedemment et de vous soumettre au contrele export americain, vous ne pouvez effectuer cette vente. En effet, les Etats-Unis interdisent que vous re-exportiez ce composant. Ils vendent quelques mois plus tard leurs propres drones au Yemen.;0;;budget:0;;;;;
30;2013;Dans le cadre de la répression des rebelles houthis, le Yemen, avec lequel vous entretenez de bonnes relations commerciales et stratégiques au Moyen-Orient, vous sollicite pour un achat de 8 drones MALE.;Pouvez-vous et souhaitez-vous faire cette vente ?;;B;Si vous avez selectionné un programme de cooperation europeenne, vous avez besoin de l'aval des cooperants pour effectuer cette vente. La politique restrictive de l'export d'arme allemand conduit à un veto allemand qui fait capoter la vente. En revanche, ce programme europeen suscite l'interet de certains allies auropeens, et vous parvenez e compenser partiellement ce manque à gagner en exportant 2 drones à la Belgique et deux drones au Portugal.;0;;budget:+350;;;;;
30;2013;Dans le cadre de la répression des rebelles houthis, le Yemen, avec lequel vous entretenez de bonnes relations commerciales et stratégiques au Moyen-Orient, vous sollicite pour un achat de 8 drones MALE.;Pouvez-vous et souhaitez-vous faire cette vente ?;;C;Si vous avez selectionné le programme Franco-Israelien DAROK, vous pouvez effectuer cette vente. ;0;;budget:+700;;;;;
30;2013;Dans le cadre de la répression des rebelles houthis, le Yemen, avec lequel vous entretenez de bonnes relations commerciales et stratégiques au Moyen-Orient, vous sollicite pour un achat de 8 drones MALE.;Pouvez-vous et souhaitez-vous faire cette vente ?;;D;Vous refusez de faire cette vente;0;;budget:0;;;;;
